payee_name,honoree_name,n_contributions,total_amount,distinct_filings,distinct_contributors
JEFFRIES FOR CONGRESS,Rep. Hakeem S. Jeffries,212,592250.0,171,78
GUY FOR CONGRESS,Rep. Guy Reschenthaler,287,592000.0,253,96
FRIENDS FOR GREGORY MEEKS,Gregory Meeks,285,591050.0,241,86
PETE RICKETTS FOR SENATE,Sen. Pete Ricketts,254,590866.6799999999,217,102
IOWANS FOR ZACH NUNN,Rep. Zach Nunn,327,589700.0,274,111
FUTURE FORUM PAC,Future Forum PAC,230,589129.45,173,58
KATHERINE CLARK FOR CONGRESS,Rep. Katherine M. Clark,236,586500.0,192,82
"CONGRESSIONAL HISPANIC CAUCUS INSTITUTE, INC.",Members of the Congressional Hispanic Caucus,6,583500.0,5,1
MULLIN FOR AMERICA,Sen. Markwayne Mullin,266,583492.0,236,124
DELBENE FOR CONGRESS,Suzan DelBene,293,582800.0,257,97
MIKE FLOOD FOR CONGRESS,Mike Flood,291,582406.1799999999,235,80
MILLER-MEEKS FOR CONGRESS,Mariannette Miller-Meeks,318,581550.0,272,104
EMMER FOR CONGRESS,Rep Tom Emmer Jr,201,581200.0,165,64
REPUBLICAN GOVERNORS ASSOCIATION,Republican Governors Association,16,580432.89,14,6
ANGIE CRAIG FOR CONGRESS,Rep. Angie Craig,349,578070.8200000001,305,112
VICENTE GONZALEZ FOR CONGRESS,Rep. Vicente Gonzalez,288,576317.24,238,98
DONALD NORCROSS FOR CONGRESS,Donald Norcross,254,576236.48,227,62
THE CONGRESSIONAL HISPANIC CAUCUS INSTITUTE,Members of the Congressional Hispanic Caucus,2,575000.0,2,1
POWER TO THE POLLS FEDERAL FUND,POWER TO THE POLLS FEDERAL FUND,3,575000.0,2,1
KEN CALVERT FOR CONGRESS COMMITTEE,Ken Calvert,329,574250.0,260,55
STRICKLAND FOR WASHINGTON,Rep. Marilyn Strickland,338,572978.5900000001,279,103
CASTEN FOR CONGRESS,Rep. Sean Casten,308,571050.0,266,92
KEVIN MCCARTHY FOR CONGRESS,Kevin McCarthy,193,571000.0,155,72
FRIENDS OF GLENN THOMPSON,Glenn Thompson,259,569231.79,229,76
LISA BLUNT ROCHESTER FOR SENATE,Lisa Blunt Rochester,314,567629.5,277,97
SCHNEIDER FOR CONGRESS,Rep. Bradley Scott Schneider,293,566500.0,244,94
BLUE DOG PAC,Blue Dog PAC,185,566250.0,171,48
JOE NEGUSE FOR CONGRESS,Rep. Joe Neguse,357,566170.0,298,117
RON ESTES FOR CONGRESS,Ron Estes,301,565884.0,277,98
FRIENDS OF JOHN THUNE,Sen. John Thune,239,564617.66,212,111
HOYER FOR CONGRESS,Rep. Steny Hamilton Hoyer,186,564000.0,172,86
FRIENDS OF SHERROD BROWN,Sen. Sherrod Brown,271,562975.0,232,91
HOUCHIN FOR CONGRESS,Rep. Erin Houchin,308,562890.4199999999,259,126
SHARICE FOR CONGRESS,Sharice Davids,360,562560.73,312,84
BEATTY FOR CONGRESS,Joyce Beatty,288,562500.0,245,90
DELBENE FOR CONGRESS,Rep. Suzan Kay DelBene,274,561500.0,230,82
DEMOCRATIC NATIONAL COMMITTEE,DEMOCRATIC NATIONAL COMMITTEE,13,558400.0,11,6
SUSIE LEE FOR CONGRESS,Susie Lee,342,557145.1499999999,303,87
SHARICE FOR CONGRESS,Rep. Sharice Davids,372,557126.9299999999,307,109
ADRIAN SMITH FOR CONGRESS,Rep. Adrian Smith,310,555500.0,278,134
MARSHA FOR SENATE,Marsha Blackburn,272,553900.0,245,86
MULLIN FOR AMERICA,Markwayne Mullin,307,549300.0,268,95
TIM SHEEHY FOR MONTANA,Tim Sheehy,262,547870.91,222,69
SCHNEIDER FOR CONGRESS,Rep. Brad Schneider,290,546525.5,244,123
HEARTLAND VALUES PAC,Sen John Thune,136,545500.0,129,56
SCALISE LEADERSHIP FUND,Rep. Steve Scalise,158,545050.0,147,35
ALL FOR OUR COUNTRY LEADERSHIP PAC,Sen. Catherine Cortez Masto,143,544500.0,136,67
CONGRESSIONAL BLACK CAUCUS FOUNDATION INC,Congressional Black Caucus Members,4,542600.56,3,1
TEXANS FOR JODEY ARRINGTON,Jodey Arrington,312,542400.0,280,104
VALADAO FOR CONGRESS,Rep. David Valadao,303,542281.62,265,103
GRAVES FOR CONGRESS,Rep. Sam Graves,261,541511.47,223,74
CHRISSY HOULAHAN FOR CONGRESS,Chrissy Houlahan,340,541323.6,297,101
PEOPLE FOR PATTY MURRAY,Patty Murray,303,541016.36,248,92
CAPITO FOR WEST VIRGINIA,Sen. Shelley Moore Capito,301,540675.0,260,134
TRUMP VANCE INAUGURAL COMMITTEE,President Donald Trump and Vice President J.D. Vance (In-Kind Vehicles for Presidential Inauguration),1,538000.0,1,1
CAROL FOR CONGRESS,Rep. Carol Miller,308,537350.0,283,133
FRIENDS OF DUSTY JOHNSON,Rep. Dusty Johnson,312,537050.0,275,118
JOSH GOTTHEIMER FOR CONGRESS,Rep. Joshua S. Gottheimer,241,536000.0,193,82
LAHOOD FOR CONGRESS,Rep Darin LaHood,221,535806.0,188,66
CISCOMANI FOR CONGRESS,Juan Ciscomani,317,535246.0,268,89
CONGRESSIONAL BLACK CAUCUS FOUNDATION,"Congressional Black Caucus Foundation, Karine Jean-Pierre, Rep. Hakeem Jeffries",2,535000.0,2,1
EMMER FOR CONGRESS,Rep. Tom Emmer,251,534650.0,227,85
GUY FOR CONGRESS,Guy Reschenthaler,310,534040.0,279,84
KAT FOR CONGRESS,Rep. Kat Cammack,309,533400.0,264,110
LARSON FOR CONGRESS,John Larson,286,532050.0,228,83
DAN NEWHOUSE FOR CONGRESS,Rep. Dan Newhouse,303,528693.15,260,78
PETE AGUILAR FOR CONGRESS,Rep Pete Aguilar,203,528500.0,170,61
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,NRSC,178,527310.86,91,20
BOOZMAN FOR ARKANSAS,John Boozman,255,527050.0,207,93
SHONTEL BROWN FOR CONGRESS,Shontel Brown,282,526618.49,243,84
TREASURE STATE PAC,Sen. Jon Tester,135,525300.0,129,62
FEENSTRA FOR CONGRESS,Randy Feenstra,314,524600.0,271,111
JEFFRIES FOR CONGRESS,Rep Hakeem Jeffries,153,523800.0,128,49
LUCAS FOR CONGRESS,Frank Lucas,243,523600.0,211,81
BALDERSON FOR CONGRESS,Troy Balderson,323,523295.0,297,81
ROBIN KELLY FOR CONGRESS,Robin Kelly,293,521650.0,251,99
GARRET GRAVES FOR CONGRESS,Garret Graves,326,520500.0,273,95
THOM TILLIS COMMITTEE,Thom Tillis,255,520050.0,214,99
HOUCHIN FOR CONGRESS,Erin Houchin,310,519036.01,275,101
FRIENDS OF JOHN BARRASSO,Sen. John Anthony Barrasso,212,519000.0,171,92
TOGETHER HOLDING OUR MAJORITY PAC,Sen. Thomas Roland Tillis,139,519000.0,133,69
VALUE IN ELECTING WOMEN POLITICAL ACTION COMMITTEE,Value In Electing Women Political Action Committee,136,518500.0,130,58
IMPACT,Sen. Charles E. Schumer,123,515750.0,119,60
KUSTOFF FOR CONGRESS,David Kustoff,286,515700.0,248,82
GARBARINO FOR CONGRESS,Rep. Andrew R. Garbarino,263,515250.0,202,79
ASPIRE PAC,ASPIRE PAC,174,515175.0,151,44
VERN BUCHANAN FOR CONGRESS,Vern Buchanan,271,515050.0,233,74
CONGRESSIONAL HISPANIC CAUCUS INSTITUTE,"Reps. Adriano Espaillat, Nanette Barragan, Tony Cardenas, Darren Soto, Norma Torres and Sen. Ben Ray Lujan",3,515000.0,2,1
MARIO DIAZ-BALART FOR CONGRESS,Mario Diaz-Balart,251,514250.0,224,65
ANN WAGNER FOR CONGRESS,Rep. Ann Wagner,239,513500.0,203,91
MORGAN MCGARVEY FOR CONGRESS,Morgan McGarvey,244,513209.58,203,62
LISA MCCLAIN FOR CONGRESS,Rep. Lisa McClain,257,512544.29,218,104
FRIENDS OF DAVE JOYCE,Rep. Dave Joyce,276,512500.0,246,90
MILLER-MEEKS FOR CONGRESS,Rep. Mariannette Jane Miller-Meeks,247,511500.0,205,90
WILD AND WONDERFUL PAC,Sen. Shelley Moore Capito,148,510800.0,138,70
CENTER FORWARD COMMITTEE,Center Forward Committee,7,510000.0,2,1
DEMOCRATIC LEGISLATIVE CAMPAIGN COMMITTEE,DEMOCRATIC LEGISLATIVE CAMPAIGN COMMITTEE,6,510000.0,5,2
JASON SMITH FOR CONGRESS,"Smith, Jason",186,509550.0,141,51
TROY CARTER FOR CONGRESS,Troy Carter,274,509312.5,233,77
MCHENRY FOR CONGRESS,Patrick McHenry,199,507953.33999999997,180,87
MILLER-MEEKS FOR CONGRESS,Rep. Mariannette Miller-Meeks,277,506670.25,247,118
CITIZENS FOR BOYLE,Brendan Boyle,223,505521.12,205,74
ALAMO PAC,John Cornyn,195,504988.56,178,66
PETE STAUBER FOR CONGRESS,Rep. Pete Stauber,276,504910.0,237,89
STANTON FOR CONGRESS,Greg Stanton,276,504000.0,232,75
TRUMP-VANCE INAUGURAL COMMITTEE,Donald Trump; J.D. Vance,1,500000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",Donald Trump and JD Vance,1,500000.0,1,1
UNITE THE COUNTRY,N/A,1,500000.0,1,1
HARRIS VICTORY FUND,"Vice President Kamala Harris, DNC, and democratic state party committees",1,500000.0,1,1
FUTURE FORWARD (FF) PAC,N/A,1,500000.0,1,1
FORD'S THEATER SOCIETY,Rep. Nancy Pelosi,1,500000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE,Donald J. Trump and James David Vance,2,500000.0,2,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.","Pres. Donald Trump, Vice Pres. JD Vance",1,500000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE,Donald J. Trump and JD Vance,1,500000.0,1,1
WOMEN VOTE!,WOMEN VOTE!,5,500000.0,5,4
BATTLEGROUND ALLIANCE PAC,BATTLEGROUND ALLIANCE PAC,1,500000.0,1,1
CONGRESSIONAL BLACK CAUCUS PAC - MARCUS SERVES ON THE BOARD,Black Men Vote,2,500000.0,2,1
TRUMP VANCE INAUGURAL COMMITTEE INC,President Donald Trump and Vice President JD Vance,1,500000.0,1,1
TRUMP-VANCE INAUGURAL COMMITTEE,Trump-Vance Inaugural Committee,1,500000.0,1,1
"TRUMP VANCE INAUGURATION, INC.",President Donald Trump; Vice President JD Vance,1,500000.0,1,1
DEMOCRATIC GRASSROOTS VICTORY FUND,N/A,7,500000.0,3,2
JOHN F. KENNEDY LIBRARY FOUNDATION,John F. Kennedy,2,500000.0,2,1
NATIONAL PARK FOUNDATION,"Secretary Deb Haaland (Interior); Charles F. Sams III (Director, NPS): Board Members",1,500000.0,1,1
"JOHN F. KENNEDY LIBRARY FOUNDATION, INC.","Kennedy, John F.",2,500000.0,2,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",Donald J. Trump and JD Vance (In-Kind Contribution: Travel),2,500000.0,2,1
BATTLEGROUND NEW YORK,BATTLEGROUND NEW YORK,1,500000.0,1,1
WESTERMAN FOR CONGRESS,Rep. Bruce Westerman,260,499850.0,224,98
FRIENDS OF BENNIE THOMPSON,Bennie Thompson,250,498856.5,220,63
MATSUI FOR CONGRESS,Doris Matsui,322,498822.45,261,73
THE MADISON PAC,Rep. Richard Edmund Neal,109,498000.0,107,53
FRIENDS OF JIM CLYBURN,Rep. James Enos Clyburn,211,496600.0,181,81
STAND WITH SANCHEZ,Rep. Linda Sanchez,261,496096.0,220,109
FRIENDS OF JIM CLYBURN,James Clyburn,184,495000.0,163,61
BETH VAN DUYNE FOR CONGRESS,Rep. Beth Van Duyne,262,492450.0,232,99
JULIA LETLOW FOR CONGRESS,Julia Letlow,329,492449.77,285,85
HISPANIC LEADERSHIP TRUST,Hispanic Leadership Trust,133,490505.0,133,58
"GEORGIA SAFE AND STRONG, INC.","GEORGIA SAFE AND STRONG, INC.",2,490000.0,1,1
THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,Rep. Stephen Joseph Scalise,110,488750.0,107,53
HALEY STEVENS FOR CONGRESS,Rep. Haley Stevens,257,488735.0,215,85
TITUS FOR CONGRESS,Dina Titus,223,488443.02,194,52
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE (DSCC),Democratic Senatorial Campaign Committee (DSCC),56,487925.0,50,15
SMART SOLUTIONS PAC,Sen. Jacky Rosen,165,487500.0,145,66
ROB WITTMAN FOR CONGRESS,Rob Wittman,309,487330.52,249,63
DAN NEWHOUSE FOR CONGRESS,Dan Newhouse,327,485751.0,286,81
BRIAN FITZPATRICK FOR ALL OF US,Rep. Brian K. Fitzpatrick,233,484000.0,182,91
FREEMAN EXPOSITIONS,"Trump Vance Inaugural Committee, Inc. (TVIC)",1,482000.0,1,1
COLE FOR CONGRESS,Rep Tom Cole,175,481800.0,138,55
COMMON VALUES PAC,John Barrasso,151,481610.14,139,54
CATHERINE CORTEZ MASTO FOR SENATE,Sen. Catherine Cortez Masto,262,481411.25,207,108
FREEDOM FUND,Sen. Michael Dean Crapo,139,480000.0,125,62
BILIRAKIS FOR CONGRESS,Rep. Gus Bilirakis,293,479170.51,267,118
GETTING STUFF DONE PAC (GSD-PAC),Sen. Kyrsten Sinema,135,478500.0,123,71
WICKER FOR SENATE,Sen. Roger Frederick Wicker,194,477600.0,148,75
ANN WAGNER FOR CONGRESS,Rep. Ann Louise Wagner,213,476500.0,178,76
EMILIA SYKES FOR CONGRESS,Emilia Sykes,263,476064.34,219,60
HEALTHCARE FREEDOM SUPER PAC,Healthcare Freedom Super PAC,11,475000.0,11,6
CONGRESSIONAL BLACK CAUCUS FOUNDATION,Del. Eleanor Holmes Norton; Rep. Maxine Waters; Rep. Sanford D. Bishop; Rep. James E. Clyburn; Rep. Bobby Scott; Rep. Bennie Thompson; Rep. Danny K. Davis; various members of Congress,1,475000.0,1,1
STEVE DAINES FOR MONTANA,Sen. Steve Daines,201,474800.0,173,120
JOSH GOTTHEIMER FOR CONGRESS,Rep. Josh Gottheimer,225,474464.29000000004,208,103
ADAM SMITH FOR CONGRESS COMMITTEE,Rep. Adam Smith,180,474150.0,153,55
TEXANS FOR JODEY ARRINGTON,Rep. Jodey Cook Arrington,231,474000.0,199,84
STAND WITH SANCHEZ,Linda Sanchez,261,471736.08,222,79
STANTON FOR CONGRESS,Rep. Greg Stanton,289,471300.0,242,86
LISA BLUNT ROCHESTER FOR SENATE,Rep. Lisa Blunt Rochester,238,470700.0,201,95
BIDEN VICTORY FUND,None,7,470000.0,2,1
MOOLENAAR FOR CONGRESS,Rep. John Moolenaar,309,468770.0,243,97
TERRI SEWELL FOR CONGRESS,Rep Terri Sewell,209,468700.0,177,63
ACROSS THE AISLE PAC,Across The Aisle PAC,107,467500.0,103,45
DAVID ROUZER FOR CONGRESS,David Rouzer,270,467350.0,243,80
GARBARINO FOR CONGRESS,Rep Andrew Garbarino,233,466000.0,182,66
MR. SOUTHERN MISSOURIAN IN THE HOUSE PAC,Rep. Jason Smith,128,465250.0,122,70
CONGRESSIONAL BLACK CAUCUS POLITICAL EDUCATION & LEADERSHIP INSTITUTE,Congressional Black Caucus Political Education & Leadership Institute,11,465000.0,10,1
SCALISE LEADERSHIP FUND,Scalise Leadership Fund,77,464950.0,71,19
MCCARTHY VICTORY FUND,Rep. Kevin McCarthy,102,463950.0,84,16
ZINKE FOR CONGRESS,Ryan Zinke,304,462473.23,259,71
TEAM HAGERTY,Bill Hagerty,242,462000.0,210,85
BRITTANY PETTERSEN FOR COLORADO,Brittany Pettersen,258,460868.74,224,72
SENATE EAGLE PAC,Sen. Bill Hagerty,138,460500.0,132,67
VOTEVETS PAC HYBRID,VoteVets PAC Hybrid,6,460000.0,4,2
FRIENDS OF ROSA DELAURO,Rosa DeLauro,231,458050.0,210,63
LISA BLUNT ROCHESTER FOR CONGRESS,Rep. Lisa Blunt Rochester,241,458000.0,191,106
STEIL FOR WISCONSIN,Bryan Steil,242,455111.91000000003,192,60
HUIZENGA FOR CONGRESS,Rep Bill Huizenga,183,454800.0,128,43
SCALISE FOR CONGRESS,Rep Steve Scalise,126,453200.0,105,51
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,41,452998.0,32,18
FRENCH HILL FOR ARKANSAS,Rep French Hill,166,452900.0,127,46
DAVID ROUZER FOR CONGRESS,Rep. David Rouzer,252,452182.04000000004,230,101
ADRIAN SMITH FOR CONGRESS,Rep. Adrian Michael Smith,218,451500.0,190,79
NICOLE FOR NEW YORK,Nicole Malliotakis,262,450814.33,222,83
BILIRAKIS FOR CONGRESS,Gus Bilirakis,284,450151.52,249,89
WORKERS VOTE,WORKERS VOTE,2,450000.0,2,2
"ALIGNCO, LLC",Bob Casey,1,450000.0,1,1
DEMOCRATIC NATIONAL COMMITTEE (DNC) - FEDERAL,N/A,3,450000.0,3,1
CAROL FOR CONGRESS,Carol Miller,263,449940.0,238,87
CASTEN FOR CONGRESS,Sean Casten,259,449310.0,214,73
MICHELLE STEEL FOR CONGRESS,Michelle Steel,249,449025.0,218,90
TEAM HAGERTY,Sen. Bill Hagerty,237,448975.0,208,101
MATSUI FOR CONGRESS,Rep. Doris Matsui,242,448262.3,209,88
MIKE THOMPSON FOR CONGRESS,Rep. Michael C. Thompson,187,448000.0,161,67
KEN CALVERT FOR CONGRESS COMMITTEE,Rep. Ken Calvert,209,447500.0,181,65
HIMES FOR CONGRESS,Jim Himes,233,447100.0,190,71
MORAN FOR KANSAS,Jerry Moran,219,446700.0,196,99
MARSHA FOR SENATE,Sen. Marsha Wedgeworth Blackburn,196,446500.0,151,79
JULIA BROWNLEY FOR CONGRESS,Julia Brownley,223,446250.0,195,59
DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,Rep. Debbie Wasserman Schultz,239,444459.0,216,70
CLEAVER FOR CONGRESS,Emanuel Cleaver,198,443200.0,181,69
TEXANS FOR JODEY ARRINGTON,Rep. Jodey Arrington,249,442500.0,227,124
WICKER FOR SENATE,Sen. Roger Wicker,241,440181.66000000003,219,88
MCCOLLUM FOR CONGRESS,Betty McCollum,231,439929.33,196,44
LISA MURKOWSKI FOR US SENATE,Lisa Murkowski,266,439258.5,233,88
BUDDY CARTER FOR CONGRESS,Buddy Carter,244,439020.0,215,77
SUOZZI FOR CONGRESS,Tom Suozzi,223,438216.13,190,63
BUDDY CARTER FOR CONGRESS,Rep. Earl L. B. Carter,193,437900.0,150,69
ALABAMA FIRST PAC,Sen. Katie Britt,154,437350.0,142,75
FRIENDS OF DAVE JOYCE,Rep. David Patrick Joyce,223,436500.0,176,72
MAGAZINER FOR CONGRESS,Seth Magaziner,233,436007.14,191,62
MARSHA BLACKBURN,IE FOR SEN. MARSHA BLACKBURN,6,435855.8,1,1
