general_issue_code,filing_year,filing_period,registrants,total_income,prior_income,prior_registrants,income_delta_pct,registrants_delta_pct
APP,2023,fourth_quarter,22,1054250.0,837000.0,21,26.0,4.8
WEL,2024,second_quarter,48,1016750.0,805750.0,44,26.2,9.1
MON,2024,fourth_quarter,8,330000.0,120000.0,6,175.0,33.3
FAM,2024,second_quarter,81,1038000.0,828000.0,74,25.4,9.5
ADV,2023,second_quarter,29,825000.0,615000.0,27,34.1,7.4
UNM,2022,fourth_quarter,30,224000.0,425000.0,37,-47.3,-18.9
REL,2025,second_quarter,15,249000.0,450000.0,11,-44.7,36.4
TOR,2023,third_quarter,40,972000.0,774520.0,39,25.5,2.6
ADV,2025,first_quarter,33,822000.0,625000.0,31,31.5,6.5
ADV,2022,second_quarter,30,580000.0,384375.0,29,50.9,3.4
DOC,2025,fourth_quarter,18,300000.0,110000.0,12,172.7,50.0
DOC,2025,second_quarter,14,120000.0,300000.0,18,-60.0,-22.2
APP,2025,second_quarter,21,748863.0,570000.0,18,31.4,16.7
MON,2025,fourth_quarter,15,510000.0,340000.0,7,50.0,114.3
MON,2025,second_quarter,10,350000.0,510000.0,15,-31.4,-33.3
MON,2023,first_quarter,6,110000.0,270000.0,9,-59.3,-33.3
DOC,2024,second_quarter,8,130000.0,275000.0,12,-52.7,-33.3
ADV,2023,fourth_quarter,27,615000.0,475000.0,26,29.5,3.8
UNM,2022,second_quarter,34,350000.0,224000.0,30,56.3,13.3
MON,2026,first_quarter,12,480000.0,360000.0,12,33.3,0.0
REL,2025,first_quarter,17,389000.0,277500.0,13,40.2,30.8
DOC,2025,third_quarter,19,230000.0,120000.0,14,91.7,35.7
DOC,2024,fourth_quarter,12,275000.0,175000.0,11,57.1,9.1
REL,2023,fourth_quarter,14,270000.0,170000.0,12,58.8,16.7
REL,2023,second_quarter,12,170000.0,270000.0,14,-37.0,-14.3
REL,2022,fourth_quarter,14,270000.0,175000.0,16,54.3,-12.5
UNM,2023,first_quarter,26,195000.0,285000.0,31,-31.6,-16.1
DOC,2022,third_quarter,13,145000.0,230000.0,11,-37.0,18.2
DOC,2023,fourth_quarter,11,175000.0,95000.0,12,84.2,-8.3
REL,2025,third_quarter,14,169000.0,249000.0,15,-32.1,-6.7
DOC,2025,first_quarter,12,110000.0,185000.0,10,-40.5,20.0
REL,2023,first_quarter,12,170000.0,230000.0,14,-26.1,-14.3
REL,2023,third_quarter,13,230000.0,170000.0,12,35.3,8.3
DOC,2024,third_quarter,10,185000.0,130000.0,8,42.3,25.0
DOC,2023,first_quarter,12,95000.0,145000.0,13,-34.5,-7.7
UNM,2025,third_quarter,15,128500.0,172500.0,17,-25.5,-11.8
UNM,2025,second_quarter,17,172500.0,128500.0,14,34.2,21.4
UNM,2025,fourth_quarter,14,128500.0,172500.0,19,-25.5,-26.3
MON,2024,first_quarter,6,120000.0,80000.0,6,50.0,0.0
MON,2023,third_quarter,6,80000.0,40000.0,5,100.0,20.0
MON,2023,second_quarter,5,40000.0,80000.0,6,-50.0,-16.7
DOC,2022,fourth_quarter,13,185000.0,145000.0,11,27.6,18.2
DOC,2024,first_quarter,11,175000.0,135000.0,12,29.6,-8.3
MON,2023,fourth_quarter,6,80000.0,110000.0,6,-27.3,0.0
