registrant_id,registrant_name,quarterly_filings_with_null_income,distinct_clients,first_seen,last_seen
317754,"SORINI, SAMET & ASSOCIATES, LLC",84,16,2022-first_quarter,2025-third_quarter
400454181,MARK REY,84,10,2022-first_quarter,2026-first_quarter
5357,BGR GOVERNMENT AFFAIRS,83,54,2022-first_quarter,2026-first_quarter
5153,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,83,26,2022-first_quarter,2026-first_quarter
400882581,"ACTIVE POLICY SOLUTIONS, LLC",83,19,2022-first_quarter,2026-first_quarter
25317,BEST BEST & KRIEGER LLP,82,15,2022-first_quarter,2026-first_quarter
400395867,"BELL & LINDSAY, INC.",81,14,2022-first_quarter,2026-first_quarter
400323519,MR. H.R. BERT PENA,81,9,2022-first_quarter,2025-third_quarter
11993,"DELTA DEVELOPMENT GROUP, INC.",78,27,2022-first_quarter,2026-first_quarter
1182,ALSTON & BIRD LLP,78,24,2022-first_quarter,2026-first_quarter
401105447,BLUEBIRD STRATEGIES,77,12,2022-first_quarter,2026-first_quarter
11526,"DC LEGISLATIVE AND REGULATORY SERVICES, INC.",77,8,2022-first_quarter,2026-first_quarter
11195,COVINGTON & BURLING LLP,76,30,2022-first_quarter,2026-first_quarter
31895,PRASAM,76,18,2022-first_quarter,2026-first_quarter
401106156,RICHARD BURNESS,75,11,2022-first_quarter,2026-first_quarter
401103779,HIGH STREET STRATEGIES LLC,74,13,2022-first_quarter,2026-first_quarter
296817,MR. GAYLORD HUGHEY,74,7,2022-first_quarter,2026-first_quarter
36710,STEPTOE LLP,73,20,2022-first_quarter,2026-first_quarter
67854,ICE MILLER LLP,73,18,2022-first_quarter,2026-first_quarter
401106014,NORTHERN COMPASS GROUP LLC,73,15,2022-first_quarter,2026-first_quarter
79175,STRATEGIES 360,73,12,2022-first_quarter,2025-third_quarter
401017872,"JGB & ASSOCIATES, LLC",73,10,2022-fourth_quarter,2026-first_quarter
8214,CAPSTONE NATIONAL PARTNERS,72,9,2022-first_quarter,2026-first_quarter
30906,SQUIRE PATTON BOGGS,70,42,2022-first_quarter,2026-first_quarter
296271,"MINDSET ADVOCACY, LLC",70,10,2022-first_quarter,2026-first_quarter
23838,MARKLEY AND COMPANY,70,9,2022-first_quarter,2024-third_quarter
401004840,"THE CONAFAY GROUP, LLC",68,16,2022-first_quarter,2026-first_quarter
85936,"WAYPOINT CONSULTING, LLC",68,6,2022-first_quarter,2025-third_quarter
32500,"ROBERT N. PYLE & ASSOCIATES, INC.",68,4,2022-first_quarter,2026-first_quarter
65932,MARKQUEST,68,4,2022-first_quarter,2025-third_quarter
401051964,KAMINS CONSULTING,67,6,2022-first_quarter,2026-first_quarter
46437,VIKKI COOPER & ASSOCIATES,67,6,2022-first_quarter,2025-third_quarter
308775,MONUMENT ADVOCACY,66,10,2022-first_quarter,2026-first_quarter
74795,"MADISON SERVICES GROUP, INC",66,7,2022-first_quarter,2026-first_quarter
400493435,MS. KAREN JOHNSON,66,7,2022-first_quarter,2025-third_quarter
401106013,"OSCAR POLICY GROUP, LLC",65,9,2022-first_quarter,2026-first_quarter
400459252,COZEN O'CONNOR PUBLIC STRATEGIES,64,21,2022-first_quarter,2025-third_quarter
35707,SMITH GARSON,64,11,2022-first_quarter,2026-first_quarter
54734,"TOWNSEND PUBLIC AFFAIRS, INC",63,25,2022-first_quarter,2026-first_quarter
400348604,"TAFT STETTINIUS & HOLLISTER LLP DBA TAFT ADVISORS LLC FKA (TAFT, STETTINIUS & HOLLISTER, LLP)",63,17,2022-first_quarter,2026-first_quarter
55291,BUCHANAN INGERSOLL & ROONEY PC,63,14,2022-first_quarter,2026-first_quarter
35640,"CARPI & CLAY, INC",63,11,2022-first_quarter,2026-first_quarter
86196,FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),62,22,2022-second_quarter,2026-first_quarter
14451,THE FERGUSON GROUP,62,16,2025-first_quarter,2025-third_quarter
400604838,BLUE STAR STRATEGIES LLC,61,10,2022-first_quarter,2026-first_quarter
400414963,FEDERAL BUSINESS GROUP,61,9,2022-first_quarter,2026-first_quarter
71837,"DAVID L. HORNE, LLC",61,6,2022-first_quarter,2025-third_quarter
4301,ARNOLD & PORTER KAYE SCHOLER LLP,60,22,2022-first_quarter,2026-first_quarter
401105838,"STARZYK & ASSOCIATES, LLC",60,8,2022-first_quarter,2026-first_quarter
16896,"GREENBERG TRAURIG, LLP",59,23,2022-first_quarter,2026-first_quarter
401104475,"NEALE CREEK, LLC",59,7,2022-first_quarter,2026-first_quarter
400862528,SUSTAINABLE STRATEGIES DC,59,5,2022-first_quarter,2025-third_quarter
34295,"SANDLER, TRAVIS & ROSENBERG, P.A.",58,21,2022-first_quarter,2026-first_quarter
299913,CARDINAL INFRASTRUCTURE LLC,58,15,2022-first_quarter,2026-first_quarter
401103521,"GAVEL RESOURCES, LLC",58,4,2022-first_quarter,2025-third_quarter
401104718,HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),57,26,2022-fourth_quarter,2026-first_quarter
401103359,HANKA ADVISOR LLC,57,13,2022-first_quarter,2026-first_quarter
401106825,OCAL LOBBYING GROUP,57,9,2022-first_quarter,2025-third_quarter
401106069,LKB STRATEGIES LLC,56,7,2022-first_quarter,2024-first_quarter
8453,"CASSIDY & ASSOCIATES, INC.",55,23,2022-first_quarter,2026-first_quarter
400685041,PENN HILL GROUP,55,13,2022-first_quarter,2026-first_quarter
400658979,"ANNDYL POLICY GROUP, LLC",55,13,2022-first_quarter,2025-third_quarter
283696,"BECKER & POLIAKOFF, P.A.",54,25,2022-first_quarter,2026-first_quarter
24123,MAYER BROWN LLP,54,23,2022-first_quarter,2026-first_quarter
400712134,RULON & WHITE GOVERNANCE STRATEGIES,54,11,2022-first_quarter,2026-first_quarter
30212,"OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC",53,11,2022-first_quarter,2026-first_quarter
401103471,MIKE WILLIAMS CAPITOL STRATEGIES LLC (F/K/A MW CAPITOL STRATEGIES LLC),53,9,2022-first_quarter,2026-first_quarter
401103489,CC LAW & POLICY,53,5,2022-first_quarter,2026-first_quarter
60550,STRATEGIC MARKETING INNOVATIONS,52,19,2022-first_quarter,2026-first_quarter
400877566,SMITS SPEIDELL CONSULTING,52,8,2022-first_quarter,2026-first_quarter
401103287,MCDERMOTT+ LLC,51,15,2022-first_quarter,2026-first_quarter
401107378,"PREST PUBLIC STRATEGIES, LLC",51,13,2023-first_quarter,2026-first_quarter
6303,"HUSCH BLACKWELL, LLP",51,8,2022-first_quarter,2026-first_quarter
322990,APPIAN,51,3,2022-first_quarter,2026-first_quarter
310370,DELTA STRATEGY GROUP,51,3,2022-first_quarter,2026-first_quarter
401104718,HB STRATEGIES,49,24,2025-first_quarter,2025-third_quarter
401053970,GRAYROBINSON PA,49,12,2022-first_quarter,2026-first_quarter
79951,"TRIANGLE ASSOCIATES, INC.",49,4,2022-first_quarter,2024-third_quarter
401107154,BRUMIDI GROUP,48,13,2022-fourth_quarter,2026-first_quarter
11377,CROWELL & MORING LLP,48,12,2022-first_quarter,2026-first_quarter
29846,NOSSAMAN LLP,48,10,2022-first_quarter,2026-first_quarter
21847,"KOGOVSEK & ASSOCIATES, INC.",48,6,2022-first_quarter,2025-fourth_quarter
34843,SENSE INCORPORATED,48,4,2022-first_quarter,2024-third_quarter
306636,"THE NORMANDY GROUP, LLC",47,9,2022-first_quarter,2026-first_quarter
401107860,MS. ANNA HANSEN,47,7,2023-fourth_quarter,2025-third_quarter
40726,PARAGON GOVERNMENT RELATIONS,47,5,2022-first_quarter,2025-third_quarter
12631,FAEGRE DRINKER BIDDLE & REATH LLP,46,20,2022-first_quarter,2026-first_quarter
400400892,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",46,10,2022-first_quarter,2026-first_quarter
36105,DENTONS US LLP,44,15,2022-first_quarter,2026-first_quarter
401103550,SUMMIT STRATEGIES GOVERNMENT AFFAIRS LLC,44,14,2022-first_quarter,2024-third_quarter
401108350,MICHAEL R. PAWLOWSKI,44,13,2024-first_quarter,2026-first_quarter
401105621,FOLGER SQUARE GROUP LLC,44,4,2022-first_quarter,2025-first_quarter
400774330,S-3 GROUP,43,9,2022-first_quarter,2026-first_quarter
